*.$$A	PR: OS/2
*.$$F	Database file  PR: OS/2
*.$$P	notes  PR: OS/2
*.$$S	Spreadsheet file  PR: PMSPREAD OS/2
*.$D$	Planner file  PR: OS/2
*.$DB	temporary File  PR: DBASE IV
*.$ED	temporary Editor file  PR: MS C
*.$VM	temporary File from Virtual Managers  PR: MS WINDOWS
*.~MN	Menu Backup  PR: NORTON COMMANDER
*.075	75x75 dpi screen characters  PR: VENTURA PUBLISHER
*.085	85x85 dpi screen characters  PR: VENTURA PUBLISHER
*.091	91x91 dpi screen characters  PR: VENTURA PUBLISHER
*.096	96x96 dpi screen characters  PR: VENTURA PUBLISHER
*.0B	Printer Font LineDraw enhanced characters  PR: PAGEMAKER
*.15U	Printer  Font  PR: PAGEMAKER
*.1ST	ASCII Text, Program Information ST: README.1ST
*.286	Driver Standard Mode  PR: MS WINDOWS
*.2GR	Screen Grabber EGA/VGA Mode PR: MS WINDOWS
*.301	FAX Data file  PR: SUPER FAX 2000
*.386	Driver 386 Enhanced  Mode  PR: MS WINDOWS
*.3DS	Graphic  PR: 3D STUDIO
*.3FX	3-D Effect  PR: COREL CHART
*.3GR	Screen Grabber SVGA/XVGA Mode PR: MS WINDOWS
*.4SW	Swap File  PR: 4DOS
*.4TH	FORTH Program File   PR: FORTH CMP
*.8	A86 Assembler Program File
*.8M	Printer  Font Math 8 enhanced characters  PR: PAGEMAKER
*.8U	Printer  Font Roman 8 enhanced characters  PR: PAGEMAKER
*.A	ADA Program File
*.A	Library  PR: UNIX
*.A_T	PR: A-TRAIN
*.A11	Graphic
*.AB6	Data file  PR: AB STAT
*.AB8	Data file  PR: AB STAT
*.ABC	Flowchart  PR: ABC FLOWCHARTER 1.x
*.ABK	Automatic Backup  PR: COREL DRAW
*.ABS	Information (Abstracts)
*.ACM	Driver (Audio Compression Manager)
*.ACT	ACTOR Program File
*.ACT	FoxDoc Action Diagram  PR: FOXPRO
*.AD	Screen Saver file  PR: AFTER DARK
*.ADA	ADA Program File
*.ADB	Ada Package Body
*.ADD	Device driver (Adapter Device Driver)
*.ADF	Admin Config file
*.ADI	Plotter file  PR: AUTOCAD
*.ADL	MCA Adapter Description Library  PR: QEMM
*.ADM	Screen Saver  Module  PR: AFTER DARK
*.ADN	Add-in  PR: LOTUS 1-2-3
*.ADR	Random Screen Saver  Module  PR: AFTER DARK
*.ADS	Ada Package Specification
*.ADX	Index file  PR: APPROACH
*.AF2	Flowchart  PR: ABC FLOWCHARTER 2.0
*.AF3	Flowchart  PR: ABC FLOWCHARTER 3.0
*.AFL	Font  PR: LOTUS 1-2-3
*.AFM	Font (Outline Font Metric)
*.AFP	Symbol Palette  PR: ABC FLOWCHARTER
*.AFT	Template   PR: ABC FLOWCHARTER
*.AFW	Work area  PR: ABC FLOWCHARTER
*.AI	Vector graphic  PR: ADOBE ILLUSTRATOR
*.AIF	Setup Information  PR: ADW KNOWLEDGE WARE
*.AIO	APL File Transfer Format
*.AIS	Graphic (Array of Intensity Samples)
*.ALL	Printer information  PR: WORDPERFECT FOR WINDOWS
*.ALL	Symbols and characters  PR: ARTS & LETTERS
*.ALT	Menu file  PR: WORDPERFECT
*.ANI	Animation
*.ANM	Animation  PR: DELUXE PAINT
*.ANN	Help Annotation  PR: MS WINDOWS
*.ANS	Text and Layout  PR: MS WORD FOR WINDOWS
*.ANT	PR: SIM ANT
*.APC	Printer driver characters  PR: LOTUS 1-2-3
*.APD	Printer driver  PR: LOTUS 1-2-3
*.APF	Printer driver fonts PR: LOTUS 1-2-3
*.API	Printer driver information PR: LOTUS 1-2-3
*.APP	Add-In Application file  PR: SYMPHONY
*.APP	Application (application)  PR: DR-DOS / NEXT STEP
*.APP	Relational Application  PR: FOXPRO
*.ARC	Archive File  PR: MS SCHEDULE
*.ARC	Compressed Archive File  PR: ARC
*.ARJ	Compressed Archive File  PR: ARJ
*.ART	Raster graphic (Atari)
*.ASC	ASCII Text file
*.ASD	Automatic Backup  PR: MS WORD FOR WINDOWS
*.ASD	screen driver  PR: LOTUS 1-2-3
*.ASF	Screen font  PR: LOTUS 1-2-3
*.ASF	Data file  PR: STATGRAPHICS
*.ASH	Assembler Header file  PR: TURBO ASSEMBLER
*.ASI	Assembler Include file PR: Turbo C / BORLAND C++
*.ASM	Assembler Program File
*.ASO	Assembler Object  PR: TURBO ASSEMBLER
